id	lName	nName	rank	status	MOB	HP	DEF	WILL	AIM		So Shall You Fight	Precision Shot	Squadsight	Secondary Heart	Low Profile	Run and Gun	Autopsy Required	Battle Scanner	Disabling Shot	Opportunist	Executioner		Double Tap	In The Zone	Damn Good Ground	Snap Shot	Will to Survive	Fire Rocket	Holo-Targeting	Adrenal Neurosympathy	Suppression	Shredder Ammo	Rapid Reaction	Grenadier	Danger Zone	Ready For Anything	Extra Conditioning	Neural Damping	Neural Feedback	Hyper-Reactive Pupils	Sprinter	Aggression	Tactical Sense	Close Encounters	Lightning Reflexes	Rapid Fire	Flush	Depth Perception	Bring 'Em On	Close Combat Specialist	Killer Instinct	Bioelectric Skin	Resilience	Smoke Grenade	Adaptive Bone Marrow	Random Subclass	Covering Fire	Field Medic	Pyrokinesis	Muscle Fiber Density	Combat Drugs	Dense Smoke	Packmaster	Sentinel	Savior	Revive	Elevated Ground	Lock N' Load	Sapper	Suppressed	Critically Wounded	Airborne	Stealth	HEAT Warheads	Combat Stimmed	Javelin Rockets	Panicked	Mindfray	Psi Panic	Psi Inspiration	Mind Control	Telekinetic Field	Rift	Mind Merge	Mind Merge	Hardened	Greater Mind Merge	Greater Mind Merge	Evasion	Launch	Bombard	Leap	Acid Spit	Venomous Claws	Blood Call	Intimidate	Fallen Comrades	Bloodlust	Bull Rush	HEAT Ammo	Smoke and Mirrors	Shock and Awe	Mayhem	Ranger	Concealment	Cluster Bomb	Psi Lance	Death Blossom	Overload	Psi Control	Psi Drain	Repair	Cannon Fire	Implant	Chryssalid Spawn	Battle Fatigue	Range	Range				Tandem Warheads		Fire in the Hole		Deadeye			Psychokinetic Strike		MEC Close Combat	Stay Frosty		Sentinel Module	Alien Grenades	Light 'Em Up	Stealth	Ghost Mode	Reaper Pack	Disoriented	Collateral Damage	Automated Threat Assessment	Advanced Fire Control	Damage Control	Vital Point Targeting	One For All	Jetboot Module	Combined Arms	Repair Servos	Fortiores Una	Platform Stability	Absorption Fields	Shock-Absorbent Armor	Reactive Targeting Sensors	Body Shield	Distortion Field	Adrenaline Surge	Iron Skin	Regen Biofield	Field Surgeon	EXALT Comm Hack	Semper Vigilans	Sharpshooter	Steadfast	Smart Macrophages	Legio Patria Nostra	Band of Warriors	So Others May Live	Lone Wolf	Esprit de Corps	Into the Breach	Paramedic	Aiming Angles	Catching Breath	Tactical Rigging	Strangle	Hit and Run	Psi Shield	Electropulsed	OTS Leader Bonus	Lead By Example
35	Hydrocow	Bull	6	Healing	13	12	-2	57	83	●				●		●						●										●														●				●	●																																																																				●	●	●		●		●	●	●	●		●			●		●																	●																													
37	thenameissteve	Mayhemclown	6	Healing	16	9	5	61	94	●				●						●		●																							●													●						●	●																																						●																●	●	●		●		●		●	●		●			●		●												●																																		
40	SoSaltySalt	AF TW DZ	5	Healing	12	9	-3	56	89	●												●						●				●			●	●																																																																		●																	●	●	●	●	●		●		●	●		●			●		●																	●													●																
41	Dabakoglu	LEU HT	4	Active	12	3	7	36	72	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
42	sed_no_one	LET HER COO	5	Active	15	7	1	56	85	●										●		●						●				●				●																						●						●	●																																					●																	●	●	●		●		●		●	●		●			●		●												●																									●									●
43	Durzo_Blint_	Ace	5	Active	13	7	0	53	80	●												●						●						●																●																										●															●											●	●																●	●	●		●		●		●	●		●			●		●																																														
44	pyrotechnician_	Emo	7	Healing	14	6	10	55	91	●					●							●		●	●																				●		●																																																								●		●														●	●	●		●		●		●	●		●			●		●																				●																										
45	TheCommissar	Dr. HEAT BS	5	Active	13	6	3	52	88	●			●					●				●																																				●								●								●																										●																			●	●	●		●		●		●	●		●			●		●	●																																													
46	Snowdoe	Loki	7	Healing	16	6	4	55	102	●			●									●	●			●			●																																																																																										●	●	●		●		●		●	●		●			●		●												●								●																						●				
47	Amaroq81	Dr. Scout	5	Active	12	4	3	62	86	●										●		●																							●													●						●	●	●																																																					●	●	●		●		●		●	●		●			●		●						●																																								
49	totalthegeek1st	Jv BSh CD	4	Active	13	4	5	54	77	●												●						●				●				●																		●							●															●																										●																	●	●	●		●		●		●	●		●			●		●																				●																										
50	Polterskelter	Low Rider	6	Healing	15	7	-1	53	82	●				●								●																							●									●								●	●					●																																																			●	●	●		●		●		●	●		●			●		●																																														
51	Croaker____	Knickles	7	Healing	13	8	0	58	86	●										●		●									●																							●	●									●																																					●		●																●	●	●		●		●		●	●		●			●		●						●																																								●
52	molybdenum_e42	Rocket Dr.	5	Healing	13	11	-2	62	77	●				●								●						●																														●								●																																				●																	●	●	●		●		●		●	●		●			●		●																	●												●								●									
54	AQuietLurker	Dice	6	Active	19	5	1	60	82	●						●		●				●																		●						●									●								●																																																								●	●	●		●		●		●	●		●			●		●																																														
56	CroisantCrusadr	Trips	6	Healing	13	8	1	54	77	●										●		●										●	●																																																																																						●	●	●		●		●		●	●		●			●		●	●									●							●																									●				●
57	Stoatmeal	Desperado	6	Active	15	8	0	53	90	●						●						●										●												●						●	●		●																																																																		●	●	●		●		●		●	●		●			●		●												●				●																														●
58	doctor_hayden	Hot Rocks	4	Healing	12	5	2	42	72	●						●						●						●																						●	●																							●																										●		●																	●	●	●		●		●		●	●		●			●		●																																														
60	PUPPYCATGIRL-1		-1	Active	14	6	0	0	70	●												●									●																																																																																								●	●	●		●		●		●	●		●			●		●																																														
61	SHTOPPO_HOMBOGA		-1	Active	14	6	0	0	70	●												●									●																																																																																								●	●	●		●		●		●	●		●			●		●																																														
64	_transcoder	RR JB AF	5	Healing	18	9	-3	51	75	●										●		●											●																									●								●																																																					●	●	●		●		●		●	●		●			●		●												●					●																				●									●
65	Shtoops	Flash	4	Healing	12	6	1	49	81	●										●		●									●				●	●																																																																			●																●	●	●		●		●		●	●		●			●		●																																														
67	TransbianDia	De SH Rg	4	Active	12	8	-2	53	86	●				●								●																																																																																		●															●	●	●		●		●	●	●	●		●			●		●	●																																													
68	Venture	AFV	5	Healing	16	5	-1	62	80	●												●	●								●																													●																																											●																●	●	●		●		●		●	●		●			●		●																●																														
69	CE LP	Plunder	4	Active	13	7	-1	46	70	●					●							●			●																			●																																																																											●	●	●		●		●		●	●		●			●		●	●																																													
70	HR IZ	Combo	4	Active	14	7	-2	49	69	●												●		●										●																																																																			●																		●	●	●		●		●		●	●		●			●		●																																										●				
72	RR TS	Mack	4	Active	17	5	2	45	82	●										●		●									●		●										●																	●																																																											●	●	●		●		●		●	●		●			●		●																																														
73	stormiejeb	Nova	4	Active	15	4	-4	55	72	●					●							●			●						●									●						●																																																																									●	●	●		●		●		●	●		●			●		●																																														
74	DylanWalsh	CD 	4	Active	16	6	-1	50	75	●					●							●			●									●						●						●															●																																								●																		●	●	●		●		●		●	●		●			●		●																																														
75	iamcooldan	Judge	4	Active	14	6	1	62	73	●										●		●																		●						●												●						●		●		●																																																			●	●	●		●		●		●	●		●			●		●																																					●									
76	Shun	COOK SGT	4	Active	12	4	6	33	71	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
77	TS JL	CONCEALMENT	4	Active	14	5	4	42	79	●												●																					●																	●																																																											●	●	●		●		●		●	●		●			●		●	●																																													
78	CE SV	Bonzai	4	Active	15	7	-4	46	69	●						●						●																						●						●	●							●							●																																																						●	●	●		●		●		●	●		●			●		●																																														
79	RK DZ	Brimstone	4	Active	14	6	1	42	74	●												●						●							●																																																																			●																	●	●	●		●		●		●	●		●			●		●	●																																													
80	HnR	Viking	4	Active	14	4	0	52	73	●												●																																						●																																																											●	●	●		●		●		●	●		●			●		●	●																																									●				
81	why1do	Dr. Smokey	4	Active	15	6	5	51	72	●												●						●				●																										●		●		●			●																																					●																	●	●	●		●		●		●	●		●			●		●																																														
82	Jeff_the_Hobo	Cujo	5	Active	16	8	1	37	82	●						●			●			●				●					●		●			●								●																																																																											●	●	●		●		●		●	●		●			●		●																																														
83	ParkaBuoy	Chops	4	Active	14	4	2	47	67	●					●							●			●																																																																																														●	●	●		●		●		●	●		●			●		●	●					●																																								
84	HT	Scarlet	4	Active	12	3	4	46	66	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
85	SharkApologist	Richter	4	Active	11	8	1	47	75	●												●						●				●				●																																						●																										●		●																	●	●	●		●		●		●	●		●			●		●																																										●				
86	jcooom	Xeno	6	Healing	16	7	-7	57	103	●		●	●							●		●											●			●									●																																																										●																●	●	●		●		●		●	●		●			●		●																	●																													
87	BS Clt	Wardog	4	Active	13	5	0	42	75	●								●				●																																																																																																	●	●	●		●		●		●	●		●			●		●	●					●																																								
89	DS+LU	Stalker	4	Active	12	3	4	47	66	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
90	Mr_Blinky	Jumpy	5	Healing	12	6	3	47	90	●			●							●		●		●																																								●										●																										●																			●	●	●		●		●		●	●		●			●		●	●																																													
91	Kroze	Killswitch	4	Active	12	6	4	45	76	●										●		●									●		●										●																																																																												●	●	●		●		●		●	●		●			●		●																																										●				
94	Carlock	Plumber Man	5	Active	14	8	-1	54	79	●					●							●			●			●						●													●																																																						●	●																	●	●	●	●	●		●		●	●		●			●		●																																														
95	Tedjasukmana	SGT COOK	4	Active	13	5	2	41	77	●												●									●																●																																																									●															●	●	●		●		●		●	●		●			●		●																																														
96	Britarnya	Mouse	4	Active	18	8	-4	46	78	●										●		●									●																						●				●																																																														●	●	●		●		●		●	●		●			●		●												●																																		
97	TW	Moose	4	Active	13	4	4	34	69	●												●						●																																																																																											●	●	●		●		●		●	●		●			●		●																																														
98	EvyEh17	DT SM Bs	5	Healing	13	6	5	52	79	●												●	●								●																					●		●																																															●																		●	●	●		●		●		●	●		●			●		●																																														
101	Patterson	AF+SH	4	Active	14	8	-1	50	72	●				●								●																							●																																																																										●	●	●		●		●		●	●		●			●		●																	●																													
102	ITZ Clown	Specter	4	Active	13	5	3	29	70	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
103	Spacebob42	Disco	5	Active	15	6	6	42	79	●					●							●	●		●						●												●																																																																												●	●	●		●		●		●	●		●			●		●																																														
104	Reactor	Thunder	4	Active	11	5	2	53	77	●										●		●						●					●												●																																																																										●	●	●		●		●		●	●		●			●		●																																														
105	Reactor	Arcade	4	Active	12	4	3	43	78	●										●		●									●		●														●																																																																								●	●	●		●		●		●	●		●			●		●																																														
106	VPT Dense	Suprema	4	Active	13	5	1	32	71	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●	●																																													
107	Tayeb	Para	4	Active	15	5	2	40	80	●												●																										●										●																																																													●	●	●		●		●		●	●		●			●		●	●																																				●									
108	firestar101	Brick	4	Active	13	8	0	59	83	●				●						●		●									●		●																									●																																																													●	●	●		●		●		●	●		●			●		●																																					●									
109	Badawi	Ghost	4	Active	12	7	2	48	91	●			●							●		●																																										●																																							●		●														●	●	●		●		●		●	●		●			●		●																																														
110	PUPPYCATGIRL-XP		-1	Active	14	14	0	0	70	●												●									●																																																																																								●	●	●		●		●		●	●		●			●		●																																														
111	girlnamedcapt.	D.M.R.	6	Healing	13	7	-2	55	102	●			●		●					●		●	●		●								●																					●																																															●																		●	●	●		●		●	●	●	●		●			●		●																																														
113	BIRTHDAY-1		-1	Active	14	14	0	0	70	●												●									●																																																																																								●	●	●		●		●		●	●		●			●		●																																														
115	Ramirez		1	Active	11	4	-2	42	63	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
116	Tanaka		1	Active	13	3	1	36	61	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
117	Morrison		1	Active	13	4	-2	26	71	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
118	Engstrom		1	Active	13	4	-1	32	64	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
119	Sadr		1	Active	12	3	-2	37	67	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
120	Matshoba		1	Active	12	4	3	32	64	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
121	Mbeki		1	Active	13	4	1	31	63	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
122	Cawood		1	Active	13	3	3	31	64	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
123	Vigil		1	Active	13	5	1	29	62	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
124	Walker		1	Active	12	3	1	33	68	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
125	Escobar		1	Active	11	4	3	30	70	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
126	Castro		1	Active	12	5	-1	34	63	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
127	Ross		1	Active	14	3	-4	31	67	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
128	Magalhaes		1	Active	13	3	-3	33	68	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
129	Hamidou		2	Active	13	6	1	31	69	●						●						●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
130	Hashim		1	Active	11	4	5	27	71	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
131	Odugbemi		2	Active	14	5	3	32	70	●												●																																				●																																																													●	●	●		●		●		●	●		●			●		●																																														
132	Afolabi		1	Active	11	5	-1	36	65	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
133	Abubakar		1	Active	13	5	-2	26	68	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
134	Jaber		1	Active	12	4	-2	37	64	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
135	Halilova		1	Active	12	3	2	37	63	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
136	Bhadare		1	Active	13	3	-1	37	62	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
137	Lee		1	Active	14	3	-2	35	61	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
138	Royer		1	Active	14	5	-2	30	60	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
139	Tierney		1	Active	14	3	1	23	70	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
140	Abreu		1	Active	14	3	-2	26	70	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
141	Leclerc		1	Active	11	4	2	33	68	●												●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
